ID,Split,Lesson_Topic,History,,Peda_Strategies,Label
411460689,test,7.4D.Percent Change,||| teacher: Plus 3 points added to your scoreboard. ||| teacher: Please give this question a try. ||| teacher: Is that your final answer? ||| student: yes ||| ,"This is a common mistake. To find the percent change, you take how much it changed, divide it by the original amount, and finally multiply by 100",explain_concept,1
178346128,train,Not Available,"teacher: Hi! ||| student: yo! what brought you here ||| teacher: Just looking to chat. Yourself? ||| student: yea I enjoy talking to people. what are you up to? ||| teacher: I am just enjoying a cigar at the moment. How about yourself? ||| student: oh wow, Cuban cigar? I've never smoke before ||| teacher: This one is actually from Peru, which is more my taste. Smoking isn't very healthy, but it's actually quite relaxing, which in a way is good for your health. haha ||| student: you made me wanna try it but I doubt about the health part haha ||| teacher: haha ""You only live once"" as they say! ||| student: yea I wish we can live more ||| teacher: haha, that is not what I was getting at, but yes that would be nice. Do you believe in reincarnation? ||| student: yea but then you will forget things. I hope Neural Link work out",Do you think Neural Link will allow you to live after death? I thought it was just a brain-computer interface.,None,0
9334671283,test,Not Available,"teacher: Hi! ||| student: Have you seen any good movies lately? ||| teacher: Last weekend I saw ""The Parasite."" Ever heard of it? ||| student: No. Why did you pick that movie? ||| teacher: My friend wanted to see it. It has great reviews on IMDB and Rotten Tomatoes! What did you do last weekend? ||| student: I played music and worked on some side projects. I also started watching the new Disney service. ||| teacher: Oooo the Mandalorian?!?! ||| student: Mostly, the deleted scenes from Avengers.. lol ||| teacher: lol Are you a big Marvel fan? ||| student: I loved the X-Men as a kid, and even collected the comic cards. Recently, I got very into the Marvel Cinematic Universe movies. How many Avengers movies have you seen? ||| teacher: I've only seen Spiderman. Honestly it was a little too scary and so I don't think I can bring myself to watch the other Marvel movies! haha ||| student: Oh!-- I have a friend who looks like the actor who plays Spiderman.","Oh really? To be honest I think the actor is not that good looking, so not so surprising! haha",None,0
1142264546,val,Not Available,"teacher: Hi! ||| student: Hey! How are you feeling today? ||| teacher: Good you? ||| student: I'm a little scared because I have to cook dinner for some friends tonight. ||| teacher: where did you meet them? ||| student: At college, when we were all studying geology. ||| teacher: cool. have you graduated already? ||| student: Yes, we graduated back in the seventies. We meet for dinner every year and take turns to host. ||| teacher: neat. what are y'all eating? ||| student: I don't know!! That's what I'm scared about. Everyone else is a great cook and I'm a klutz. Do you like cooking?","lol what's a klutz? yeah I like, but I'm not good",None,0
3690027652,train,Not Available,"teacher: Hi! ||| student: How's it going? ||| teacher: I'm so sleepy today! ||| student: Not enough sleep last night? ||| teacher: yeah was working all night on a homework ||| student: Oh really? What class? ||| teacher: Biology. I'm gonna be a doc someday ha ||| student: Haha, are you in med school? Or are you pre-med? ||| teacher: no high school actually haha ||| student: haha, very ambitious for a high schooler! Do you know what kind of medicine you want to practice? ||| teacher: I wanna be a brain surgeon!! ||| student: Ooof! VERY ambitious. Do you have steady hands? ||| teacher: Kind of I think ||| student: I guess I can practice? ||| teacher: Is that something you can practice? ||| student: I don't know tbh ||| teacher: I honestly thought it was one of those things you have to be born with... Not that you shouldn't try though! ||| student: good point. I should ask my teacher if I have to be born with that",Maybe its a little too early to even be thinking about this. Just aim for med school and enjoy the journey!,None,0
4325222964,train,Not Available,"teacher: Hi! ||| student: Hello, how are you? ||| teacher: I'm great, thanks. I just ate a delicious breakfast, which always sets the day up right. ||| student: Yes, breakfast is the most important meal of the day! What did you have? I woke up late so unfortunately I only had the chance to grab an apple to go. ||| teacher: I had eggs and hash browns. Way less healthier than your apple, I'm afraid! ||| student: Eggs are an excellent source of protein and hash browns certainly are yummy! 🙂 ||| teacher: Ha, that's true. If you could only eat one food forever, what would it be? ||| student: That's a tough question. I feel like my answer would have to be carrots. Although, I would be afraid of turning orange after a few weeks! What about you? ||| teacher: Yeah, turning orange would be a drawback! That turns my mind to nutrition so I suddenly want to say Soylent or one of those other ""complete foods"", which I think defeats the purpose of the question. I'm in a muddle! ||| student: Very true. If you said an everything pizza, you could just pick off the toppings you didn't want or eat only the toppings you would want for the day",BRILLIANT. I love it.,None,0
632146313,train,5.5A.Graphing on a Coordinate Grid,||| student: chat window ||| teacher: Thanks for letting me know. ||| teacher: Is this your final answer? ||| student: yes maam ||| ,"Great try! When you plot the point (3, 2) you need to make sure you move in the horizontal direction first. You actually graphed the point (2,3)",explain_concept,1
2856167175,train,3.6B.Quadrilaterals,||| teacher: Please solve the problem. ||| student: done ||| teacher: Is that your answer? ||| student: yes ||| ,"Hm, not quite. In order for a shape to be a quadrilateral, it must not only have 4 sides, but it must be closed",explain_concept,1
9067554074,train,Not Available,teacher: Hi! ||| student: Hi! How was your weekend? ||| teacher: pretty good. just went to church and hangout with friends ||| student: Nice ||| teacher: did you do anything? ||| student: I made donuts and samosas with an air fryer have you used one of those before,yum yum yum no only good old oily frier,None,0
7147877021,train,Not Available,"teacher: Hi! ||| student: Hey, how's your day going?","okayish, it is flying by quicker than I expected. How is your day going on?",None,0
